FirstOccurrence,LastOccurrence,Type,SourceIP,SourceMAC,DestinationIP,DestinationMAC,Protocol,PCAPName,MAC,IP,Function,Count,RiskScore
2025-02-14 14:45:46.644532 +0000 UTC,2025-02-14 14:45:46.644532 +0000 UTC,THROUGHPUT_VARIANCE_LIMIT_EXCEEDED,172.16.106.13,ac:64:17:03:4f:c5,172.16.106.23,00:60:34:12:ab:7f,Profinet,XRJbCk4KGwoHCNXnhduAEhoHCP_WyqCDDCIHCgUNF2oQrBIcCgcI1eeF24ASGggIxZ-NuMGMKyIHCgUNDWoQrBoDCIAQIgIIESoICJSRAhDVqQMRN9FZNBsuBgAYAQ.pcap,ac:64:17:03:4f:c5,172.16.106.13,,1,3.4
2025-02-14 14:45:46.644546 +0000 UTC,2025-02-14 14:45:46.644546 +0000 UTC,CYCLIC_MESSAGE_MISSING,0.0.0.0,28:63:36:a9:ac:eb,0.0.0.0,28:63:36:9a:90:b3,Profinet,SRJHCjoKFgoHCNXnhduAEhIBABoICLOh6rSzjAoSFgoHCNXnhduAEhIBABoICOvZprWzjAoaBAiSkQIiACoAEdXvWTQbLgYAGAE.pcap,28:63:36:a9:ac:eb,,,1,3.4
2025-02-14 14:45:46.644556 +0000 UTC,2025-02-14 14:45:46.644556 +0000 UTC,CYCLIC_MESSAGE_MISSING,0.0.0.0,28:63:36:9a:90:b3,0.0.0.0,ac:64:17:03:4f:c5,Profinet,RxJFCjoKFgoHCNXnhduAEhIBABoICLOh6rSzjAoSFgoHCNXnhduAEhIBABoICMWfjbjBjCsaBAiSkQIiACoAETXuWTQbLgYA.pcap,28:63:36:9a:90:b3,,,1,3.4
2025-02-14 14:45:46.644557 +0000 UTC,2025-02-14 14:45:46.644557 +0000 UTC,CYCLIC_MESSAGE_MISSING,0.0.0.0,54:e3:b0:00:55:b1,0.0.0.0,28:63:36:9a:90:b3,Profinet,SRJHCjoKFgoHCNXnhduAEhIBABoICLOh6rSzjAoSFgoHCNXnhduAEhIBABoICLGrgYC7nBUaBAiSkQIiACoAEQrvWTQbLgYAGAE.pcap,54:e3:b0:00:55:b1,,,1,3.4
2025-02-14 14:45:46.644651 +0000 UTC,2025-02-14 14:45:46.644651 +0000 UTC,THROUGHPUT_VARIANCE_LIMIT_EXCEEDED,172.16.106.21,00:a0:45:9b:55:d9,172.16.106.11,28:63:36:9a:90:b3,Profinet,WxJZCk4KGwoHCNXnhduAEhoHCNmr7ayEFCIHCgUNFWoQrBIcCgcI1eeF24ASGggIs6HqtLOMCiIHCgUNC2oQrBoDCIAQIgIIESoICMCBAxC0oQMRPuNZNBsuBgA.pcap,00:a0:45:9b:55:d9,172.16.106.21,,1,3.4
2025-02-14 14:45:46.644651 +0000 UTC,2025-02-14 14:45:46.644651 +0000 UTC,THROUGHPUT_VARIANCE_LIMIT_EXCEEDED,172.16.106.14,28:63:36:a9:de:e6,172.16.106.11,28:63:36:9a:90:b3,Profinet,XhJcCk8KHAoHCNXnhduAEhoICLOh6rSzjAoiBwoFDQtqEKwSHAoHCNXnhduAEhoICOa9p7WzjAoiBwoFDQ5qEKwaAwiAECICCBEqCAi0oQMQgoADEZTwWTQbLgYAGAE.pcap,28:63:36:a9:de:e6,172.16.106.14,,1,3.4
2025-02-14 14:45:46.644679 +0000 UTC,2025-02-14 14:45:46.644679 +0000 UTC,IP_IP_PROTOCOL,172.16.106.11,28:63:36:9a:90:b3,172.16.106.14,28:63:36:a9:de:e6,S7,WhJYCk0KHAoHCNXnhduAEhoICLOh6rSzjAoiBwoFDQtqEKwSHAoHCNXnhduAEhoICOa9p7WzjAoiBwoFDQ5qEKwaAwiAECICCAYqBgj42wIQZhHHUNo6Gy4GAA.pcap,,,,1,3.4
2025-02-14 14:45:46.644679 +0000 UTC,2025-02-14 14:45:46.644679 +0000 UTC,IP_ACTIVE,172.16.106.11,28:63:36:9a:90:b3,172.16.106.14,28:63:36:a9:de:e6,S7,WhJYCk0KHAoHCNXnhduAEhoICLOh6rSzjAoiBwoFDQtqEKwSHAoHCNXnhduAEhoICOa9p7WzjAoiBwoFDQ5qEKwaAwiAECICCAYqBgj42wIQZhHHUNo6Gy4GAA.pcap,,172.16.106.14,,1,6.7
2025-02-14 14:45:46.644679 +0000 UTC,2025-02-14 14:45:46.644679 +0000 UTC,TCP_SYN_WITHOUT_SYN_ACK,172.16.106.11,28:63:36:9a:90:b3,172.16.106.14,28:63:36:a9:de:e6,S7,WhJYCk0KHAoHCNXnhduAEhoICLOh6rSzjAoiBwoFDQtqEKwSHAoHCNXnhduAEhoICOa9p7WzjAoiBwoFDQ5qEKwaAwiAECICCAYqBgj42wIQZhHHUNo6Gy4GAA.pcap,28:63:36:9a:90:b3,172.16.106.11,,1,3.4
2025-02-14 14:45:46.644679 +0000 UTC,2025-02-14 14:45:46.644679 +0000 UTC,PROGRAM_UPLOAD,172.16.106.11,28:63:36:9a:90:b3,172.16.106.14,28:63:36:a9:de:e6,S7,WhJYCk0KHAoHCNXnhduAEhoICLOh6rSzjAoiBwoFDQtqEKwSHAoHCNXnhduAEhoICOa9p7WzjAoiBwoFDQ5qEKwaAwiAECICCAYqBgj42wIQZhHHUNo6Gy4GAA.pcap,28:63:36:9a:90:b3,172.16.106.11,,1,6.7
2025-02-14 14:45:46.644771 +0000 UTC,2025-02-14 14:45:46.644771 +0000 UTC,MAC,0.0.0.0,ac:64:17:03:4f:c5,0.0.0.0,01:0e:cf:00:00:00,Profinet,SBJGCjkKFQoHCNXnhduAEhIBABoHCICAgPjsIRIWCgcI1eeF24ASEgEAGggIxZ-NuMGMKxoECJKRAiIAKgARI1HaOhsuBgAYAQ.pcap,01:0e:cf:00:00:00,,,1,6.7
2025-02-14 14:45:46.644771 +0000 UTC,2025-02-14 14:45:46.644771 +0000 UTC,MAC_PROTOCOL,0.0.0.0,ac:64:17:03:4f:c5,0.0.0.0,01:0e:cf:00:00:00,Profinet,SBJGCjkKFQoHCNXnhduAEhIBABoHCICAgPjsIRIWCgcI1eeF24ASEgEAGggIxZ-NuMGMKxoECJKRAiIAKgARI1HaOhsuBgAYAQ.pcap,01:0e:cf:00:00:00,,,1,3.4
