frame.number,protocol,function,eth.src,eth.dst,ip.src,ip.dst,tcp.flags_ack,tcp.flags_fin,tcp.flags_reset,tcp.flags_syn,tcp.hdr_len,tcp.len,tcp.payload,ip.flags_df,ip.flags_mf,ip.flags_rb,ip.frag_offset,ip.hdr_len,ip.len,ip.ttl,ip.checksum,tcp.checksum,tcp.dstport,tcp.srcport,udp.checksum,udp.dstport,udp.length,udp.payload,udp.srcport,pn_rt.cycle_counter,ground_truth
127,S7,STATE LIST,ac:64:17:35:60:50,28:63:36:a9:de:e6,172.16.106.31,172.16.106.14,True,False,False,False,20,33,03:00:00:21:02:f0:80:32:07:00:00:00:01:00:08:00:08:00:01:12:04:11:44:01:00:ff:09:00:04:01:31:00:03,True,False,False,0,20,73,128,0xcd25,0xaefb,102,49176,0,0,0,0,0,0,0
128,S7,OPEN CONNECTION,28:63:36:a9:ac:eb,ac:64:17:35:60:50,172.16.106.12,172.16.106.31,True,False,False,False,20,27,03:00:00:1b:02:f0:80:32:03:00:00:00:01:00:08:00:00:00:00:f0:00:00:01:00:02:00:f0,False,False,False,0,20,67,30,0x705c,0x7e38,49177,102,0,0,0,0,0,0,0
135,S7,STATE LIST,ac:64:17:35:60:50,28:63:36:a9:ac:eb,172.16.106.31,172.16.106.12,True,False,False,False,20,33,03:00:00:21:02:f0:80:32:07:00:00:00:01:00:08:00:08:00:01:12:04:11:44:01:00:ff:09:00:04:01:31:00:03,True,False,False,0,20,73,128,0xcd25,0x67e2,102,49177,0,0,0,0,0,0,0
136,S7,STATE LIST,28:63:36:a9:de:e6,ac:64:17:35:60:50,172.16.106.14,172.16.106.31,True,False,False,False,20,81,03:00:00:51:02:f0:80:32:07:00:00:00:01:00:0c:00:34:00:01:12:08:12:84:01:01:00:00:00:00:ff:09:00:30:01:31:00:03:00:28:00:01:00:03:7f:fc:83:01:00:f0:00:0c:00:01:02:09:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00,False,False,False,0,20,121,30,0x702d,0x506e,49176,102,0,0,0,0,0,0,0
141,S7,STATE LIST,28:63:36:a9:ac:eb,ac:64:17:35:60:50,172.16.106.12,172.16.106.31,True,False,False,False,20,81,03:00:00:51:02:f0:80:32:07:00:00:00:01:00:0c:00:34:00:01:12:08:12:84:01:01:00:00:00:00:ff:09:00:30:01:31:00:03:00:28:00:01:00:03:7f:fc:83:01:00:f0:00:10:00:01:02:09:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00,False,False,False,0,20,121,30,0x7025,0x0555,49177,102,0,0,0,0,0,0,0
162,Profinet,PTCP DELAY REQUEST,00:60:34:12:ab:80,01:80:c2:00:00:0e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,ARP,REQUEST,28:63:36:9a:90:b3,ff:ff:ff:ff:ff:ff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,ARP,REQUEST,28:63:36:9a:90:b3,ff:ff:ff:ff:ff:ff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,ARP,REQUEST,28:63:36:9a:90:b3,ff:ff:ff:ff:ff:ff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,ARP,REQUEST,28:63:36:9a:90:b3,ff:ff:ff:ff:ff:ff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,ARP,REPLY,ac:64:17:03:4f:c5,28:63:36:9a:90:b3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,ARP,REPLY,54:e3:b0:00:55:b1,28:63:36:9a:90:b3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,ARP,REPLY,28:63:36:a9:de:e6,28:63:36:9a:90:b3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,ARP,REPLY,28:63:36:a9:ac:eb,28:63:36:9a:90:b3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203,S7,READ,ac:64:17:35:60:50,28:63:36:a9:de:e6,172.16.106.31,172.16.106.14,True,False,False,False,20,55,03:00:00:37:02:f0:80:32:01:00:00:00:01:00:26:00:00:04:03:12:0a:10:01:00:01:00:00:83:00:00:0a:12:0a:10:01:00:01:00:00:83:00:00:08:12:0a:10:01:00:01:00:00:83:00:00:09,True,False,False,0,20,95,128,0xcd0a,0xe5df,102,49176,0,0,0,0,0,0,0
208,S7,READ,28:63:36:a9:de:e6,ac:64:17:35:60:50,172.16.106.14,172.16.106.31,True,False,False,False,20,38,03:00:00:26:02:f0:80:32:03:00:00:00:01:00:02:00:11:00:00:04:03:ff:03:00:01:01:00:ff:03:00:01:00:00:ff:03:00:01:00,False,False,False,0,20,78,30,0x7057,0x9b66,49176,102,0,0,0,0,0,0,0
209,S7,READ,ac:64:17:35:60:50,28:63:36:a9:ac:eb,172.16.106.31,172.16.106.12,True,False,False,False,20,31,03:00:00:1f:02:f0:80:32:01:00:00:00:01:00:0e:00:00:04:01:12:0a:10:05:00:01:00:02:84:00:00:a0,True,False,False,0,20,71,128,0xcd23,0x473f,102,49177,0,0,0,0,0,0,0
214,S7,READ,28:63:36:a9:ac:eb,ac:64:17:35:60:50,172.16.106.12,172.16.106.31,True,False,False,False,20,27,03:00:00:1b:02:f0:80:32:03:00:00:00:01:00:02:00:06:00:00:04:01:ff:05:00:10:00:01,False,False,False,0,20,67,30,0x705a,0x597a,49177,102,0,0,0,0,0,0,0
239,Profinet,PTCP DELAY REQUEST,28:63:36:a9:de:e7,01:80:c2:00:00:0e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
262,ARP,REQUEST,ac:64:17:35:60:50,ff:ff:ff:ff:ff:ff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
263,ARP,REPLY,28:63:36:9a:90:b3,ac:64:17:35:60:50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
264,0,0,ac:64:17:35:60:50,28:63:36:9a:90:b3,172.16.106.31,172.16.106.11,False,False,False,True,28,0,0,True,False,False,0,20,48,128,0xcd38,0xd482,102,49179,0,0,0,0,0,0,0
267,0,0,28:63:36:9a:90:b3,ac:64:17:35:60:50,172.16.106.11,172.16.106.31,True,False,False,True,24,0,0,True,False,False,0,20,44,64,0x1101,0xe609,49179,102,0,0,0,0,0,0,0
268,0,0,ac:64:17:35:60:50,28:63:36:9a:90:b3,172.16.106.31,172.16.106.11,True,False,False,False,20,0,0,True,False,False,0,20,40,128,0xcd3f,0x9a9a,102,49179,0,0,0,0,0,0,0
269,ARP,REQUEST,ac:64:17:35:60:50,ff:ff:ff:ff:ff:ff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270,ARP,REPLY,ac:64:17:03:4f:c5,ac:64:17:35:60:50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
271,0,0,ac:64:17:35:60:50,ac:64:17:03:4f:c5,172.16.106.31,172.16.106.13,False,False,False,True,28,0,0,True,False,False,0,20,48,128,0xcd34,0x5bda,102,49180,0,0,0,0,0,0,0
272,0,0,ac:64:17:03:4f:c5,ac:64:17:35:60:50,172.16.106.13,172.16.106.31,True,False,False,True,24,0,0,True,False,False,0,20,44,64,0x6b33,0x7b0b,49180,102,0,0,0,0,0,0,0
273,0,0,ac:64:17:35:60:50,ac:64:17:03:4f:c5,172.16.106.31,172.16.106.13,True,False,False,False,20,0,0,True,False,False,0,20,40,128,0xcd3b,0x2f9c,102,49180,0,0,0,0,0,0,0
282,S7,READ,ac:64:17:35:60:50,28:63:36:a9:de:e6,172.16.106.31,172.16.106.14,True,False,False,False,20,55,03:00:00:37:02:f0:80:32:01:00:00:00:01:00:26:00:00:04:03:12:0a:10:01:00:01:00:00:83:00:00:0a:12:0a:10:01:00:01:00:00:83:00:00:08:12:0a:10:01:00:01:00:00:83:00:00:09,True,False,False,0,20,95,128,0xcd02,0xe5a8,102,49176,0,0,0,0,0,0,0
283,S7,READ,ac:64:17:35:60:50,28:63:36:a9:ac:eb,172.16.106.31,172.16.106.12,True,False,False,False,20,31,03:00:00:1f:02:f0:80:32:01:00:00:00:01:00:0e:00:00:04:01:12:0a:10:05:00:01:00:02:84:00:00:a0,True,False,False,0,20,71,128,0xcd1b,0x4720,102,49177,0,0,0,0,0,0,0
286,S7,READ,28:63:36:a9:de:e6,ac:64:17:35:60:50,172.16.106.14,172.16.106.31,True,False,False,False,20,38,03:00:00:26:02:f0:80:32:03:00:00:00:01:00:02:00:11:00:00:04:03:ff:03:00:01:01:00:ff:03:00:01:00:00:ff:03:00:01:00,False,False,False,0,20,78,30,0x7056,0x9b09,49176,102,0,0,0,0,0,0,0
289,S7,READ,28:63:36:a9:ac:eb,ac:64:17:35:60:50,172.16.106.12,172.16.106.31,True,False,False,False,20,27,03:00:00:1b:02:f0:80:32:03:00:00:00:01:00:02:00:06:00:00:04:01:ff:05:00:10:00:01,False,False,False,0,20,67,30,0x7059,0x5940,49177,102,0,0,0,0,0,0,0
290,S7,PLUS_REQUEST,ac:64:17:35:60:50,28:63:36:9a:90:b3,172.16.106.31,172.16.106.11,True,False,False,False,20,36,03:00:00:24:1f:e0:00:00:00:19:00:c1:02:06:02:c2:10:53:49:4d:41:54:49:43:2d:52:4f:4f:54:2d:48:4d:49:c0:01:0a,True,False,False,0,20,76,128,0xcd16,0x29aa,102,49179,0,0,0,0,0,0,0
291,S7,PLUS_REQUEST,ac:64:17:35:60:50,ac:64:17:03:4f:c5,172.16.106.31,172.16.106.13,True,False,False,False,20,36,03:00:00:24:1f:e0:00:00:00:1a:00:c1:02:06:03:c2:10:53:49:4d:41:54:49:43:2d:52:4f:4f:54:2d:48:4d:49:c0:01:0a,True,False,False,0,20,76,128,0xcd13,0xbdaa,102,49180,0,0,0,0,0,0,0
292,S7,PLUS_RESPONSE,28:63:36:9a:90:b3,ac:64:17:35:60:50,172.16.106.11,172.16.106.31,True,False,False,False,20,36,03:00:00:24:1f:d0:00:19:00:02:00:c0:01:0a:c1:02:06:02:c2:10:53:49:4d:41:54:49:43:2d:52:4f:4f:54:2d:48:4d:49,True,False,False,0,20,76,64,0x1151,0xfb51,49179,102,0,0,0,0,0,0,0
293,S7,PLUS_RESPONSE,ac:64:17:03:4f:c5,ac:64:17:35:60:50,172.16.106.13,172.16.106.31,True,False,False,False,20,36,03:00:00:24:1f:d0:00:1a:00:02:00:c0:01:0a:c1:02:06:03:c2:10:53:49:4d:41:54:49:43:2d:52:4f:4f:54:2d:48:4d:49,True,False,False,0,20,76,64,0x02a7,0x9051,49180,102,0,0,0,0,0,0,0
328,S7,PLUS_DATA,ac:64:17:35:60:50,28:63:36:9a:90:b3,172.16.106.31,172.16.106.11,True,False,False,False,20,228,03:00:00:e4:02:f0:80:72:01:00:d5:31:00:00:04:ca:00:00:00:01:00:00:01:20:36:00:00:01:1d:00:04:00:00:00:00:00:a1:00:00:00:d3:82:1f:00:00:a3:81:69:00:15:15:53:65:72:76:65:72:53:65:73:73:69:6f:6e:5f:31:43:39:43:33:38:46:a3:82:21:00:15:15:30:3a:3a:3a:36:2e:32:3a:3a:4d:50:32:37:30:28:54:43:50:49:50:29:a3:82:28:00:15:0a:52:65:61:64:20:57:72:69:74:65:a3:82:29:00:15:0b:48:4d:49:20:52:54:20:4f:4d:53:2b:a3:82:2a:00:15:08:59:6f:75:72:48:6f:73:74:a3:82:2b:00:04:02:a3:82:2c:00:12:01:c9:c3:8f:a3:82:2d:00:15:0f:52:65:61:64:2f:57:72:69:74:65:20:74:61:67:73:a1:00:00:00:d3:81:7f:00:00:a3:81:69:00:15:15:53:75:62:73:63:72:69:70:74:69:6f:6e:43:6f:6e:74:61:69:6e:65:72:a2:a2:00:00:00:00:72:01:00:00,True,False,False,0,20,268,128,0xcc50,0x775b,102,49179,0,0,0,0,0,0,0
