Type,SourceIP,SourceMAC,DestinationIP,DestinationMAC,Protocol,MAC,IP,Function,Packet Number
MAC_MAC_PROTOCOL,0.0.0.0,54:e3:b0:00:55:b7,0.0.0.0,00:50:56:c0:00:01,Profinet,,,,135
MAC_FUNCTION,0.0.0.0,00:50:56:c0:00:01,0.0.0.0,54:e3:b0:00:55:b7,Profinet,00:50:56:c0:00:01,,PN DCP SET REQUEST,135
MAC_FUNCTION,0.0.0.0,54:e3:b0:00:55:b7,0.0.0.0,00:50:56:c0:00:01,Profinet,00:50:56:c0:00:01,,PN DCP SET SUCCESS,136
MAC_FUNCTION,0.0.0.0,54:e3:b0:00:55:b7,0.0.0.0,00:50:56:c0:00:01,Profinet,54:e3:b0:00:55:b7,,PN DCP SET SUCCESS,136
MAC_FUNCTION,0.0.0.0,00:50:56:c0:00:01,0.0.0.0,54:e3:b0:00:55:b7,Profinet,54:e3:b0:00:55:b7,,PN DCP SET REQUEST,135
MAC_MAC_FUNCTION,0.0.0.0,54:e3:b0:00:55:b7,0.0.0.0,00:50:56:c0:00:01,Profinet,,,PN DCP SET SUCCESS,136
MAC_MAC_FUNCTION,0.0.0.0,00:50:56:c0:00:01,0.0.0.0,54:e3:b0:00:55:b7,Profinet,,,PN DCP SET REQUEST,135
MAC_ACTIVE,0.0.0.0,00:50:56:c0:00:01,0.0.0.0,54:e3:b0:00:55:b7,Profinet,00:50:56:c0:00:01,,,135
IP_IP_PROTOCOL,172.16.106.11,28:63:36:9a:90:b3,172.16.106.12,28:63:36:a9:ac:eb,S7,,,,139
IP_FUNCTION,172.16.106.11,28:63:36:9a:90:b3,172.16.106.12,28:63:36:a9:ac:eb,S7,,172.16.106.11,STATE LIST,143
IP_IP_FUNCTION,172.16.106.11,28:63:36:9a:90:b3,172.16.106.12,28:63:36:a9:ac:eb,S7,,,OPEN CONNECTION,141
IP_IP_FUNCTION,172.16.106.11,28:63:36:9a:90:b3,172.16.106.12,28:63:36:a9:ac:eb,S7,,,STATE LIST,143
IP_FUNCTION,172.16.106.22,00:30:de:41:df:28,172.16.106.12,28:63:36:a9:ac:eb,Profinet,,172.16.106.22,DCE RPC READ REQUEST,144
IP_FUNCTION,172.16.106.22,00:30:de:41:df:28,172.16.106.12,28:63:36:a9:ac:eb,Profinet,,172.16.106.22,DCE RPC READ RESPONSE,145
IP_FUNCTION,172.16.106.22,00:30:de:41:df:28,172.16.106.12,28:63:36:a9:ac:eb,Profinet,,172.16.106.12,DCE RPC READ RESPONSE,145
IP_FUNCTION,172.16.106.22,00:30:de:41:df:28,172.16.106.12,28:63:36:a9:ac:eb,Profinet,,172.16.106.12,DCE RPC READ REQUEST,144
IP_IP_FUNCTION,172.16.106.22,00:30:de:41:df:28,172.16.106.12,28:63:36:a9:ac:eb,Profinet,,,DCE RPC READ REQUEST,144
IP_IP_FUNCTION,172.16.106.22,00:30:de:41:df:28,172.16.106.12,28:63:36:a9:ac:eb,Profinet,,,DCE RPC READ RESPONSE,145
MAC_MAC_FUNCTION,0.0.0.0,28:63:36:a9:de:e6,0.0.0.0,28:63:36:9a:90:b3,ARP,,,REQUEST,146
