Type,SourceIP,SourceMAC,DestinationIP,DestinationMAC,Protocol,MAC,IP,Function,predictions
MAC_MAC,0.0.0.0,54:e3:b0:00:55:b1,0.0.0.0,28:63:36:9a:90:b3,ARP,,,,0
MAC_MAC_PROTOCOL,0.0.0.0,54:e3:b0:00:55:b1,0.0.0.0,28:63:36:9a:90:b3,ARP,,,,0
MAC_ACTIVE,0.0.0.0,54:e3:b0:00:55:b1,0.0.0.0,28:63:36:9a:90:b3,ARP,54:e3:b0:00:55:b1,,,0
MAC_MAC,0.0.0.0,28:63:36:a9:ac:eb,0.0.0.0,28:63:36:9a:90:b3,ARP,,,,0
MAC_MAC,0.0.0.0,28:63:36:a9:de:e6,0.0.0.0,28:63:36:9a:90:b3,ARP,,,,0
MAC_MAC_PROTOCOL,0.0.0.0,28:63:36:a9:ac:eb,0.0.0.0,28:63:36:9a:90:b3,ARP,,,,0
MAC_MAC_PROTOCOL,0.0.0.0,28:63:36:a9:de:e6,0.0.0.0,28:63:36:9a:90:b3,ARP,,,,0
MAC_MAC_FUNCTION,0.0.0.0,28:63:36:a9:de:e6,0.0.0.0,28:63:36:9a:90:b3,ARP,,,REPLY,0
MAC_MAC_FUNCTION,0.0.0.0,28:63:36:a9:ac:eb,0.0.0.0,28:63:36:9a:90:b3,ARP,,,REPLY,0
MAC,0.0.0.0,28:63:36:a9:de:e7,0.0.0.0,01:80:c2:00:00:0e,Profinet,28:63:36:a9:de:e7,,,0
MAC_PROTOCOL,0.0.0.0,28:63:36:a9:de:e7,0.0.0.0,01:80:c2:00:00:0e,Profinet,28:63:36:a9:de:e7,,,0
MAC_MAC,0.0.0.0,28:63:36:a9:de:e7,0.0.0.0,01:80:c2:00:00:0e,Profinet,,,,0
MAC_MAC_PROTOCOL,0.0.0.0,28:63:36:a9:de:e7,0.0.0.0,01:80:c2:00:00:0e,Profinet,,,,0
MAC_ACTIVE,0.0.0.0,28:63:36:a9:de:e7,0.0.0.0,01:80:c2:00:00:0e,Profinet,28:63:36:a9:de:e7,,,0
MAC_MAC,0.0.0.0,28:63:36:9a:90:b3,0.0.0.0,ac:64:17:35:60:50,ARP,,,,0
MAC_MAC_PROTOCOL,0.0.0.0,28:63:36:9a:90:b3,0.0.0.0,ac:64:17:35:60:50,ARP,,,,0
IP,172.16.106.31,ac:64:17:35:60:50,172.16.106.11,28:63:36:9a:90:b3,S7,,172.16.106.11,,0
IP,172.16.106.31,ac:64:17:35:60:50,172.16.106.13,ac:64:17:03:4f:c5,S7,,172.16.106.13,,0
IP_IP,172.16.106.31,ac:64:17:35:60:50,172.16.106.13,ac:64:17:03:4f:c5,S7,,,,0
IP_IP,172.16.106.31,ac:64:17:35:60:50,172.16.106.11,28:63:36:9a:90:b3,S7,,,,0
MAC_MAC,0.0.0.0,ac:64:17:03:4f:c5,0.0.0.0,ac:64:17:35:60:50,ARP,,,,0
MAC_MAC_PROTOCOL,0.0.0.0,ac:64:17:03:4f:c5,0.0.0.0,ac:64:17:35:60:50,ARP,,,,0
IP_MAC,172.16.106.31,ac:64:17:35:60:50,172.16.106.11,28:63:36:9a:90:b3,S7,,,,0
IP_MAC,172.16.106.31,ac:64:17:35:60:50,172.16.106.13,ac:64:17:03:4f:c5,S7,,,,0
MAC_FUNCTION,0.0.0.0,ac:64:17:35:60:50,0.0.0.0,ff:ff:ff:ff:ff:ff,ARP,ac:64:17:35:60:50,,REQUEST,0
MAC_MAC_FUNCTION,0.0.0.0,ac:64:17:35:60:50,0.0.0.0,ff:ff:ff:ff:ff:ff,ARP,,,REQUEST,0
IP_ACTIVE,172.16.106.31,ac:64:17:35:60:50,172.16.106.11,28:63:36:9a:90:b3,S7,,172.16.106.11,,0
IP_ACTIVE,172.16.106.31,ac:64:17:35:60:50,172.16.106.13,ac:64:17:03:4f:c5,S7,,172.16.106.13,,0
IP_PROTOCOL,172.16.106.31,ac:64:17:35:60:50,172.16.106.11,28:63:36:9a:90:b3,S7,,172.16.106.11,,0
IP_PROTOCOL,172.16.106.31,ac:64:17:35:60:50,172.16.106.13,ac:64:17:03:4f:c5,S7,,172.16.106.13,,0
IP_IP_PROTOCOL,172.16.106.31,ac:64:17:35:60:50,172.16.106.11,28:63:36:9a:90:b3,S7,,,,0
IP_IP_PROTOCOL,172.16.106.31,ac:64:17:35:60:50,172.16.106.13,ac:64:17:03:4f:c5,S7,,,,0
PROGRAM_UPLOAD,172.16.106.31,ac:64:17:35:60:50,172.16.106.11,28:63:36:9a:90:b3,S7,ac:64:17:35:60:50,172.16.106.31,,0
PROGRAM_UPLOAD,172.16.106.31,ac:64:17:35:60:50,172.16.106.11,28:63:36:9a:90:b3,S7,28:63:36:9a:90:b3,172.16.106.11,,0
MAC,0.0.0.0,28:63:36:a9:ac:ec,0.0.0.0,01:80:c2:00:00:0e,Profinet,28:63:36:a9:ac:ec,,,0
MAC_PROTOCOL,0.0.0.0,28:63:36:a9:ac:ec,0.0.0.0,01:80:c2:00:00:0e,Profinet,28:63:36:a9:ac:ec,,,0
MAC_MAC,0.0.0.0,28:63:36:a9:ac:ec,0.0.0.0,01:80:c2:00:00:0e,Profinet,,,,0
MAC_MAC_PROTOCOL,0.0.0.0,28:63:36:a9:ac:ec,0.0.0.0,01:80:c2:00:00:0e,Profinet,,,,0
IP_FUNCTION,172.16.106.31,ac:64:17:35:60:50,172.16.106.11,28:63:36:9a:90:b3,S7,,172.16.106.11,PLUS_DATA,0
IP_FUNCTION,172.16.106.31,ac:64:17:35:60:50,172.16.106.11,28:63:36:9a:90:b3,S7,,172.16.106.11,PLUS_SETMULTIVAR,0
